,Neighborhood,Population,Total private dwellings,Population density per square kilometre,Crime Cases,COVID Cases,latitude,longitude,Crime Rate,COVID Rate,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue,Count
0,Agincourt North,29113.0,9371.0,3929.0,214.0,884.0,43.8080383,-79.2664391,0.05446678544158819,0.2249936370577755,Coffee Shop,Bakery,Indian Restaurant,Bank,Chinese Restaurant,Park,Salon / Barbershop,Sandwich Place,Frozen Yogurt Shop,Beer Store,32
1,Agincourt South-Malvern West,23757.0,8535.0,3034.0,329.0,685.0,43.781969,-79.25768943954708,0.1084377059986816,0.2257745550428477,Clothing Store,Restaurant,Gym / Fitness Center,Coffee Shop,Bakery,Bank,Sandwich Place,Gym,Department Store,American Restaurant,65
2,Alderwood,12054.0,4732.0,2435.0,88.0,274.0,43.6017173,-79.5452325,0.036139630390143736,0.11252566735112936,Pharmacy,Discount Store,Pizza Place,Convenience Store,Donut Shop,Shopping Mall,Park,Skating Rink,Liquor Store,Bagel Shop,22
3,Amesbury,17757.0,6667.0,5045.0,212.0,1025.0,43.7061619,-79.48349185404643,0.04202180376610506,0.20317145688800792,Portuguese Restaurant,Fast Food Restaurant,Coffee Shop,Pizza Place,Supermarket,Breakfast Spot,Big Box Store,Park,Grocery Store,Bank,26
4,Annex,30526.0,18109.0,10863.0,604.0,654.0,43.6703377,-79.407117,0.05560158335634723,0.06020436343551505,Café,Italian Restaurant,Korean Restaurant,Bakery,Restaurant,Coffee Shop,Vegetarian / Vegan Restaurant,Grocery Store,Mexican Restaurant,Japanese Restaurant,100
5,Banbury-Don Mills,27695.0,12473.0,2775.0,221.0,564.0,43.7526832,-79.3652703,0.07963963963963964,0.20324324324324325,Coffee Shop,Bank,Athletics & Sports,Restaurant,Fast Food Restaurant,Mobile Phone Shop,Supermarket,Burger Joint,Cafeteria,Park,30
6,Bathurst Manor,15873.0,6418.0,3377.0,113.0,953.0,43.76389295,-79.45636693710946,0.033461652354160494,0.2822031388806633,Hardware Store,Pharmacy,Breakfast Spot,Men's Store,Fast Food Restaurant,Grocery Store,Baseball Field,Park,Liquor Store,Sandwich Place,17
7,Bay Street Corridor,25797.0,18436.0,14097.0,1371.0,399.0,43.6688649,-79.3891256,0.09725473505001064,0.02830389444562673,Coffee Shop,Park,Grocery Store,Italian Restaurant,Japanese Restaurant,Juice Bar,Shopping Mall,Men's Store,Gourmet Shop,Bookstore,82
8,Bayview Village,21396.0,10111.0,4195.0,167.0,324.0,43.7691966,-79.3766617,0.03980929678188319,0.07723480333730631,Furniture / Home Store,Café,Coffee Shop,Moving Target,Metro Station,Chinese Restaurant,Bank,Clothing Store,Deli / Bodega,Restaurant,48
10,Bedford Park,23236.0,9052.0,4209.0,250.0,774.0,43.7373876,-79.4109253,0.059396531242575434,0.18389166072701355,Coffee Shop,Sandwich Place,Sushi Restaurant,Pub,Restaurant,Italian Restaurant,Bakery,Grocery Store,Pharmacy,Asian Restaurant,64
11,Beechborough,6577.0,2796.0,3614.0,105.0,413.0,43.6950296,-79.4716835,0.029053680132816822,0.11427780852241284,Furniture / Home Store,Portuguese Restaurant,Discount Store,Sandwich Place,Coffee Shop,Fast Food Restaurant,Burger Joint,Dessert Shop,Hardware Store,Falafel Restaurant,23
12,Bendale,29960.0,11293.0,4011.0,423.0,1474.0,43.7535196,-79.2553355,0.10545998504113688,0.3674894041386188,Bank,Pharmacy,Fast Food Restaurant,Park,Bookstore,Chinese Restaurant,Grocery Store,Fish & Chips Shop,Coffee Shop,Sandwich Place,22
14,Blake,7727.0,3269.0,8134.0,109.0,150.0,43.781933,-79.4230863,0.013400540939267272,0.018441111384312762,Korean Restaurant,Bubble Tea Shop,Coffee Shop,Japanese Restaurant,Pizza Place,Dessert Shop,Vietnamese Restaurant,Café,Bank,Park,64
15,Briar Hill,14257.0,6080.0,7791.0,182.0,,43.70304535,-79.45134360044906,0.02336028751123091,,Grocery Store,Pizza Place,Bank,Coffee Shop,Fast Food Restaurant,Sandwich Place,Furniture / Home Store,Bike Shop,Gym / Fitness Center,Caribbean Restaurant,37
